Customer1 아메리카노 5       기본메뉴가 제일 맛있네요
Customer3 에스프레소 5       bb
Customer5 블루베리치즈케이크 5       진짜 존,,맛,,탱,,,
Customer6 꿀아메리카노 5       여러분 이거 왜 안 드시나요 개맛있음;;
Customer8 흑임자생크림케이크 5       여기 케익 종류는 다 맛있는 것 같아요!
Customer9 아메리카노 5       기본에 충실한 맛
Customer12 캐모마일 5       마음의 진정이 필요할 땐 꼭 이걸 드세요. 남자친구랑 싸우다가 맛있다고 화해함.
Customer13 얼그레이 5       홍차의 정의를 다시금 깨닫게 해준 음료입니다. 넘 행복.
Customer14 자몽에이드 5       저는 자몽을 정말 사랑합니다. 이 가게 자몽에이드가 한 몫 하네요.
Customer17 블루베리생크림치즈프라푸치노 5       처음 보는 메뉴인데 블루베리를 너무 좋아해서 시켜봤어요. 도전은 대성공! 완전 맛있으니까 다들 드셔보세요ㅜㅜ
Customer18 망고요거트스무디 5      저 망고 별로 안 좋아하는데 망고 요거트 스무디는 정말 맛있네요.
Customer20 제주그린티라떼 5       그냥 녹차라떼가 아닙니다. "제주" 녹차라떼에요. 라떼는마리양~
Customer22 민트카페모카 5       민트에 도전해봤는데, 오늘부터 저 민초파입니다.
Customer23 자바칩프라푸치노 5       아니 이거 왜 별점 5점이 최대에요? 100점은 주고싶네; 메인이라더니 그 이유가 있네요
Customer26 오렌지에이드 5       오렌지 먹어본지 얼마나 오렌지~
Customer29 흑당버블라떼 5       여러분 그냥 흑당버블티 생각하시면 됩니다. 실패는 없어요.
Customer31 토피넛라떼 5       토피넛에 대해 아세요? 그 정의는 이 라떼를 마시자마자 달라집니다.
Customer33 달고나라떼 5       한창 유행해서 시켜먹어봤어요~ 달고나가 생각보다 안 녹고 씹어먹는 맛이 있어서 동심으로 돌아간 기분이었어요. 이거 발명한 사람 상 줘야한다고 생각합니다~
Customer36 티라미수라떼 5       티라미수 따로 시켜서만 먹어봤지 티라미수라떼는 처음인데 맛있어요.
Customer38 콜드브루라떼 5       다이어트 중에 급 땡겨서ㅠㅠ...근데 진짜 맛있어요. 콜드브루라떼는 혁신적이야.
Customer39 에스프레소 5       잠 깨는데 최고입니다. 다들 수능 대박나세요.
Customer41 흑임자카페라떼 5       어머님이 좋아하시네요~
Customer44 자바칩프라푸치노 5       카페 메인메뉴라고 추천받았어요~ 너무 맛있네요. 달달하니! 스트레스 해소 짱!
Customer47 치킨커리샌드위치 5       혹시,,제가 있는 곳이,, 천국인가요?
Customer49 자이언트펭수초코케이크 5       딸램이 넘 좋아해용~~
Customer50 피스타치오마카롱 5       마카롱을 원래 좋아하는데, 피스타치오마카롱이 다른데 보다 훨씬 맛있어요.. 대박
Customer51 에그허니토스트 5       이거 진짜 말이 필요없는 조합이다.
Customer52 칠리새우샌드위치 5       칠리새우를 그냥 먹어보기만 했지 샌드위치로는 처음 먹어보는데, 소스 존맛
Customer54 슈가글레이즈도넛 5       와 이거 진짜 엄청 맛있어요. 한 100개 사서 먹고싶음
Customer55 딸기듬뿍마카롱 5       이건 마카롱이 아니라  뚱카롱이라고 해도 될 정도고, 엄청 맛있어요
Customer56 허니브레드 5       다른 가게에서 먹었을 때는 그냥 그 맛이 그 맛이지 했는데,,,여긴 진짜 혁명인가,,,
Customer60 기본브라우니 5       기본에 뭘 바라는 건진 모르겠는데, 진짜 기본에 충실해서 더 맛있는 느낌이에요.
Customer63 다크초콜릿무스케이크 5       와,,, 앞으로 쭉 다크초코만 먹을 것 같아요,,,
Customer65 레드벨벳케이크 5       레드벨벳케이크는 언제나 진리인듯.
Customer67 미니카스테라 5       카스테라 하나 시키면 다 못 먹어서 부담스러웠는데 내 맞춤형 메뉴인듯
Customer69 레몬마카롱 5       레몬마카롱에 레몬에이드를 먹었는데, 왜 맛있지?
Customer71 크림치즈마카롱 5       사장님 혹시 크림치즈 케이크도 있나요?
Customer72 에그타르트 5       급식에서 먹던 맛과는 차원이 다른 신세계
Customer73 올라프바닐라케이크 5       ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ귀엽네요
Customer75 벨기에초콜릿마카롱 5       그냥 초콜릿보다 풍미 깊은 맛이 나네요. 잘 먹었어요.
Customer76 복숭아아이스티 5       카페인을 못 먹어서 이런 것만 먹는데, 진짜 달고 맛있어요. 하나도 안 밍밍해요!
Customer78 산딸기와플 5       산딸기 맛 나는데요? 맛있어요
Customer79 체리콕 5       체리! 콕콕콕! 트로피카나~ 체리! 존맛탱! 뚜뚜루뚜루~
Customer81 카라멜호두파운드 5       와 이거 진짜 맛있어요. 진짜 농담아니고. 사장님이 개발하신 특제 소스ㅠㅠ...대박
Customer83 카페모카빵 5       이거 향이 진짜 미쳤어요. 존맛탱.
Customer86 에스프레소 5       여러분 그거 아세요? 에스프레소에 물 타면 아메리카노 인거? 이게 이득임
Customer87 아메리카노 5       아메리카노 마시써효! 노래가 절로 나와효!
Customer88 딸기요거트빙수 5       딸기도 넉넉하게 주시고 남자친구랑 먹다가 싸울 일도 없네요.
Customer90 치즈파니니 5       나는 치즈파니니가 아니다. 치즈파다.
